Event	ID	Name			Wwise Object Path	Notes
	521623505	EMP_Sound			\Default Work Unit\EMP_Sound	
	871813740	Player_Hit			\Default Work Unit\Player_Hit	
	938552145	Play_Lose_Music			\Default Work Unit\Play_Lose_Music	
	1171885424	Hit_Target			\Default Work Unit\Hit_Target	
	1302021521	Streetlight_Smash			\Default Work Unit\Streetlight_Smash	
	1952436935	Menu_Enter			\Default Work Unit\Menu_Enter	
	2710292464	Menu_Movement			\Default Work Unit\Menu_Movement	
	2757260539	Play_Cityscape			\Default Work Unit\Play_Cityscape	
	3077001935	Play_Stopwatch			\Default Work Unit\Play_Stopwatch	
	3148844260	Play_Win_Music			\Default Work Unit\Play_Win_Music	
	3554186090	Play_Movement_Footstep			\Default Work Unit\Play_Movement_Footstep	
	3714975495	Crowd_Noise			\Default Work Unit\Crowd_Noise	
	3725903807	Music_Start			\Default Work Unit\Music_Start	
	4004702906	Player_Shoot			\Default Work Unit\Player_Shoot	
	4093367312	Play_Breathing			\Default Work Unit\Play_Breathing	
	4138329421	Stop_Endgame_loops			\Default Work Unit\Stop_Endgame_loops	

Switch Group	ID	Name			Wwise Object Path	Notes
	1966881315	Switch_Time			\Default Work Unit\Switch_Time	

Switch	ID	Name	Switch Group			Notes
	787604482	Slow	Switch_Time			
	1192079962	Urgent	Switch_Time			

Effect plug-ins	ID	Name	Type				Notes
	1588715066	Echoes_Linear	Wwise Delay			
	1590660382	Nearly_Forever	Wwise Delay			
	2995775460	Room_Small	Wwise RoomVerb			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	8914327	Before_Diamond_Bass_Loop	C:\Users\micha\Documents\GitHub\Unity\Shot In The Dark\Marcus Audio\Game Off 2022\.cache\Windows\SFX\Before_Diamond_Bass_Loop_9F074F18.wem		\Actor-Mixer Hierarchy\Default Work Unit\Music\Before_Diamond_Bass_Loop		2719868
	29000921	Menu_Movement	C:\Users\micha\Documents\GitHub\Unity\Shot In The Dark\Marcus Audio\Game Off 2022\.cache\Windows\SFX\Menu_Movement_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Menu_UI_Sounds\Menu_Movement		21300
	52824185	558969__sandb1ns__fluorescent-lightbulb-break	C:\Users\micha\Documents\GitHub\Unity\Shot In The Dark\Marcus Audio\Game Off 2022\.cache\Windows\SFX\558969__sandb1ns__fluorescent-lightbulb-break_58454724.wem		\Actor-Mixer Hierarchy\Default Work Unit\Environment\LightBulb\558969__sandb1ns__fluorescent-lightbulb-break		559972
	67945233	Lose_Game	C:\Users\micha\Documents\GitHub\Unity\Shot In The Dark\Marcus Audio\Game Off 2022\.cache\Windows\SFX\Lose_Game_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Music\Lose_Game		1058464
	87964442	Crowd Footsteps	C:\Users\micha\Documents\GitHub\Unity\Shot In The Dark\Marcus Audio\Game Off 2022\.cache\Windows\SFX\Crowd Footsteps_D79FB2B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\Crowd Noises\Crowd Footsteps		878972
	97534558	Inhale	C:\Users\micha\Documents\GitHub\Unity\Shot In The Dark\Marcus Audio\Game Off 2022\.cache\Windows\SFX\387620__mlitty__slow-breath-relax_7F319397.wem		\Actor-Mixer Hierarchy\Default Work Unit\Tranquillizer\Breathing_Sequence\Inhale		472752
	137067243	428844__splushionsindasky__roof-top-distant-traffic	C:\Users\micha\Documents\GitHub\Unity\Shot In The Dark\Marcus Audio\Game Off 2022\.cache\Windows\SFX\428844__splushionsindasky__roof-top-distant-traffic_6A31FE06.wem		\Actor-Mixer Hierarchy\Default Work Unit\Environment\City_Scape\428844__splushionsindasky__roof-top-distant-traffic		1163064
	150677986	Bass Drop High Impact 2	C:\Users\micha\Documents\GitHub\Unity\Shot In The Dark\Marcus Audio\Game Off 2022\.cache\Windows\SFX\Bass Drop High Impact 2_E362E910.wem		\Actor-Mixer Hierarchy\Default Work Unit\EMP\Bass Drop High Impact 2		589952
	186127181	Industry Lid Plastic Tube Lid Opening 01	C:\Users\micha\Documents\GitHub\Unity\Shot In The Dark\Marcus Audio\Game Off 2022\.cache\Windows\SFX\Industry Lid Plastic Tube Lid Opening 01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Tranquillizer\Industry Lid Plastic Tube Lid Opening 01		24832
	262945368	Bass Drop Interference	C:\Users\micha\Documents\GitHub\Unity\Shot In The Dark\Marcus Audio\Game Off 2022\.cache\Windows\SFX\Bass Drop Interference_2B848FEC.wem		\Actor-Mixer Hierarchy\Default Work Unit\EMP\Bass Drop Interference		329784
	300890852	Slow	C:\Users\micha\Documents\GitHub\Unity\Shot In The Dark\Marcus Audio\Game Off 2022\.cache\Windows\SFX\412750__blukotek__ticking-of-the-clock-02_51C1EBBD.wem		\Actor-Mixer Hierarchy\Default Work Unit\Communications\Stopwatch_Switch_Container\Slow		35524
	308699503	Uhh soft 1	C:\Users\micha\Documents\GitHub\Unity\Shot In The Dark\Marcus Audio\Game Off 2022\.cache\Windows\SFX\Uhh soft 1_013D3003.wem		\Actor-Mixer Hierarchy\Default Work Unit\Target\Uhh soft 1		62664
	444858503	Emergency Patrol Boat Siren Individual Siren Docked 01	C:\Users\micha\Documents\GitHub\Unity\Shot In The Dark\Marcus Audio\Game Off 2022\.cache\Windows\SFX\Emergency Patrol Boat Siren Individual Siren Docked 01_3931C834.wem		\Actor-Mixer Hierarchy\Default Work Unit\Environment\City_Scape\Emergency Patrol Boat Siren Individual Siren Docked 01		1852900
	464555132	Electrical Current Strong	C:\Users\micha\Documents\GitHub\Unity\Shot In The Dark\Marcus Audio\Game Off 2022\.cache\Windows\SFX\Electrical Current Strong_18BBDEB5.wem		\Actor-Mixer Hierarchy\Default Work Unit\EMP\Electrical Current Strong		169674
	478377020	Menu_Enter	C:\Users\micha\Documents\GitHub\Unity\Shot In The Dark\Marcus Audio\Game Off 2022\.cache\Windows\SFX\Menu_Enter_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Menu_UI_Sounds\Menu_Enter		21300
	497829812	Exhale	C:\Users\micha\Documents\GitHub\Unity\Shot In The Dark\Marcus Audio\Game Off 2022\.cache\Windows\SFX\387620__mlitty__slow-breath-relax_E7D7A150.wem		\Actor-Mixer Hierarchy\Default Work Unit\Tranquillizer\Breathing_Sequence\Exhale		556164
